"taxonID","tip","temporal_niche","total_count","n_sites_temp","habitat_niche","n_sites_hab"
"DICPUR4","Dicaelus_purpuratus_79",28.39,100,3,-0.177388754660269,3
"DICSCU","Dicaelus_sculptilis_59",26.5952380952381,126,4,-0.175796827540437,4
"DICTET","Dicaelus_teter_54",25.9297235023041,868,4,-0.332238824156986,4
"DIPSTR","Diplocheila_striatopunctata_21",30.7586206896552,29,4,0.153351284413785,4
"DISPAR1","Discoderus_parallelus_59",27.7463111571318,3863,8,0.220191085648591,8
"DROPRU","Dromochorus_pruininus_13",28.0333333333333,30,3,0.0274534923882786,3
"DYSGLO","Dyschirius_globulosus_67",23.2080924855491,346,7,0.170520585619892,7
"ELAGRA","Elaphropus_granarius_58",26.2824427480916,131,11,-0.030505194801903,11
"ELAINC","Elaphropus_incurvus_56",29.40625,96,5,-0.171155248800683,5
"ELALAP","Elaphrus_lapponicus_27",25.5161290322581,31,4,0.244903853488509,4
"ELAXAN","Elaphropus_xanthopus_27",31.0347222222222,144,4,-0.345361458407406,4
"EURGRO","Euryderus_grossus_106",29.5073210971334,4849,8,0.19218588270156,8
"GALATR","Galerita_atripes_61",26.4971751412429,177,3,-0.141553046141601,3
"GALBIC","Galerita_bicolor_137",28.3859489051095,1096,11,-0.318264743388439,11
"GALJAN","Galerita_janus_29",26.8085106382979,47,5,-0.232786662077988,5
"GASHON","Gastrellarius_honestus_13",23.6521739130435,23,4,-0.217509633595974,4
"HARAMP1","Harpalus_amputatus_46",27.4825253664036,887,4,0.15891872014639,4
"HARANI","Harpalus_animosus_43",29.2081911262799,293,3,0.186730039257116,3
"HARCAL","Harpalus_caliginosus_125",33.6715806715807,1221,15,0.0596781057177522,15
"HARCOM","Harpalus_compar_58",35.4487632508834,283,13,-0.240119189076514,13
"HARDES","Harpalus_desertus_98",26.7192049561177,19370,8,0.219422539770239,8
"HARELL","Harpalus_ellipsis_112",26.8485477178423,482,5,0.205098280505267,5
"HARERR","Harpalus_erraticus_17",33.1285714285714,70,7,0.0338248849796141,7
"HARERY","Harpalus_erythropus_10",32.6666666666667,48,10,-0.251854437916021,10
"HARFAU","Harpalus_faunus_16",28.3870967741935,31,7,-0.0784179199748605,7
"HARFRA","Harpalus_fraternus_15",29.0175438596491,57,6,0.192451964225795,6
"HARFUL","Harpalus_fulvilabris_32",27.3428571428571,35,3,-0.105650223489078,3
"HARHER","Harpalus_herbivagus_64",28.6920152091255,263,14,0.137074539724945,14
"HARIND2","Harpalus_indigens_49",28.6100628930818,159,4,0.185197030019543,4
"HARLAT","Harpalus_laticeps_31",28.743119266055,109,4,0.144264924040342,4
"HARNIG","Harpalus_nigritarsis_50",28.9033613445378,238,8,0.189207212924768,8
"HAROPA","Harpalus_opacipennis_90",29.3734729493892,1146,5,0.176837164715032,5
"HARPAR","Harpalus_paratus_85",34.5874769797422,543,9,0.145385347893658,9
"HARPEN","Harpalus_pensylvanicus_192",34.6830493273543,5575,22,0.0580266100669472,22
"HARPRO1","Harpalus_protractus_34",34.1927710843374,83,10,-0.16028786323492,10
"HARPRO2","Harpalus_providens_70",26.455223880597,134,7,-0.176701615461885,7
"HARREV","Harpalus_reversus_52",33.5245283018868,530,5,0.172356890010537,5
"HARRUB","Harpalus_rubripes_32",25,125,3,-0.316476325015176,3
"HARSOL","Harpalus_solitaris_54",26.7894736842105,114,3,0.262305383189614,3
"HARSOM","Harpalus_somnulentus_139",29.1306240928882,689,14,0.13629104470438,14
"HARSPA","Harpalus_spadiceus_32",24.0192307692308,156,4,-0.321182376920667,4
"HARVAG","Harpalus_vagans_85",34.0813397129187,209,10,-0.208157354559583,10
"HARVEN","Harpalus_ventralis_56",29.2666666666667,150,3,0.185811221947752,3
"HELFER","Helluomorphoides_ferrugineus_29",29.6071428571429,28,3,0.128394070412773,3
"HELTEX","Helluomorphoides_texanus_32",25.6153846153846,91,3,-0.0262643279437805,3
"MICCUR","Microlestes_curtipennis_7",27.0454545454545,22,3,0.183547869430194,3
"MICDIS","Micrixys_distincta_16",27.0833333333333,24,4,-0.0446453835941435,4
"MICLIN2","Microlestes_linearis_8",28.1739130434783,23,4,0.180550846830545,4
"MICNIG","Microlestes_nigrinus_3",27.225,40,3,0.15059742369024,3
"MYACOR","Myas_coracinus_46",29.3263888888889,144,6,-0.34990184113216,6
"MYACYA","Myas_cyanescens_101",28.2456747404844,289,8,-0.235104046686174,8
"NOTAEN","Notiophilus_aeneus_110",22.3648881239243,581,11,-0.270965377694608,11
"NOTNIT1","Notiobia_nitidipennis_27",24.7714285714286,35,7,-0.334384153724748,7
"NOTNOV","Notiophilus_novemstriatus_43",15.8671875,128,10,-0.0459946634018627,10
"NOTSEM2","Notiophilus_semistriatus_29",27.9193548387097,62,10,0.023239831962289,10
"NOTTER","Notiobia_terminata_21",27.5,24,3,0.0449159663985375,3
"OMUCAL","Omus_californicus_23",25.5134099616858,261,3,0.117019496402063,3
