"siteID","meanLat","meanLon","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","PD","SR","MPD","mean_consecutive_turnover","sd_consecutive_turnover","mean_all_pairs_bc","season_length_weeks","n_years","H_plant_bc","n_plots","seasonLength"
"ORNL",35.9433187468761,-84.2676445630132,103,140.8,19.4410655309135,132.072147966426,5.81449481452642,5.649094513,95,0.182919616035428,0.498209407765722,0.143743970839934,0.640761572580059,12.2727272727273,11,0.65366860715176,13,316.8
"OSBS",29.6913392803083,-81.9715742824107,60,95.1,18.3122918846714,103.324062276958,6.02235273933011,3.342091246,51,0.135271999904553,0.385473939463099,0.157819937658612,0.413030965334683,12.7,10,0.791827650688194,12,364.4
"RMNP",40.179752017762,-105.50993798579,37,48,8.86809590611198,46.1402191772562,3.2239226830869,2.390919648,36,0.133793112169897,0.240314424721064,0.0839910195677431,0.303751519706262,7.5,8,0.736562526421569,10,193.8
"SCBI",38.8906069228142,-78.1403317373634,90,102,7.95994876326007,104.160317424252,5.12200350964208,4.726179269,85,0.176020653417757,0.446548228343297,0.117546918891853,0.612574483595188,11.6,10,0.627109386865436,12,280.3
"SERC",38.8870393267279,-76.547816341711,97,112.3,9.56245358272743,113.266272723851,5.36606494456835,5.639610536,92,0.162539690706126,0.450422158747669,0.154556187210642,0.637740465275702,13.125,8,0.589391354573281,11,308.8
"SJER",37.1095461070381,-119.738909601173,22,27,6.00347121810929,27.3678385416667,2.74131039931083,1.292241063,16,0.140292335771424,0.394774073108849,0.251707212578437,0.496291083219287,10.8888888888889,9,0.511681219418956,10,363.7
"SOAP",37.0321899027778,-119.26644058547,29,31.5,3.15442495954442,32.4320746527778,2.58833351740969,1.870921,24,0.221980363622908,0.418312471217262,0.165215523598956,0.534595696155798,9.33333333333333,6,0.621133169797692,12,335.5
"SRER",31.847899233945,-110.858764557339,33,48,12.8199786213493,49.1724137931034,3.01931428616594,2.557895545,32,0.0446382078874009,0.349070017469818,0.166123974189995,0.438368650606419,11,7,0.569479333924376,10,364.4
"STEI",45.8109963189041,-90.0768439758904,52,60.6666666666667,6.41212896043215,67.8959117449035,4.23277976236601,3.29053763,48,0.163633267705485,0.361067135233772,0.14414027473394,0.527245420430541,7.6,10,0.618412964157817,10,188.5
"STER",40.4730414810954,-103.019683109119,69,76.5,6.35021328675019,76.4062914023754,3.88794584862796,4.140808068,67,0.156534282203279,0.399006276943154,0.160652035379391,0.565116494334708,8.63636363636364,11,0.428465829753994,7,234.6
"TALL",32.9185979335938,-87.4218627109375,60,78.2,13.1504209573496,70.2997069964592,4.04183130128911,3.927333844,54,0.208588646146183,0.576900620445433,0.140526731662038,0.637277439016646,12.125,8,0.62859455877345,10,349.6
"TEAK",37.0054172833333,-119.022617295238,18,32,13.1517584375626,32.6521212121212,2.48607969090006,1.474887098,18,0.111122510916803,0.247494442620745,0.0985772693462427,0.329550915948942,6.4,5,0.781486064896748,10,290.9
"TOOL",68.5943867739872,-149.489264239872,33,37.2,4.33458732889625,39.5182776727578,3.19504715630753,1.960880665,29,0.166262766785326,0.276298871633019,0.0558566773333792,0.344003874957101,4.4,5,0.581550387604419,4,75.4
"TREE",45.4891665522592,-89.5625852359653,63,81.2,13.1508772488299,75.2247278660604,4.32889070951272,4.024674754,58,0.191673909071593,0.460034258018216,0.111817949336144,0.603203771070556,8.1,10,0.711318800299638,12,191.1
"UKFS",39.0445076567922,-95.1991447253491,82,110.5,17.932692156054,98.0448548203306,4.80158309628327,5.281446488,77,0.222533160842275,0.527788006050066,0.159233271927792,0.694091405918586,11.7,10,0.599190471426651,10,261.5
"UNDE",46.2430393390192,-89.5227359449893,39,48,7.60898591578843,50.5584415584416,3.36096918863531,2.727041024,36,0.170957658280477,0.4043661936661,0.157361317928064,0.574196832590483,8,10,0.675450549302409,11,182.3
"WOOD",47.1329229413657,-99.2503647264927,104,113.545454545455,6.56647392675387,113.011790747029,5.19393539270446,6.1758103,100,0.206140412049063,0.503522691092485,0.119786193204637,0.622915538965861,9.11111111111111,9,0.736907110889813,12,190.6
"WREF",45.8388658824334,-121.991741148325,16,31,13.6399555386656,35.776,2.81514153512929,1.310575533,15,0.188655925465831,0.245280119862301,0.132554288631039,0.335566520044948,7.42857142857143,7,0.544008976491444,10,240.3
"YELL",44.9458086638655,-110.578222484594,43,43.8571428571429,1.39402537221186,45.3864786366659,3.3394193184476,2.455614864,37,0.18977241198166,0.382666164270236,0.102716869830499,0.477165013672954,6.2,5,0.720924309050982,10,166.8
