"siteID","meanLat","meanLon","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","PD","SR","MPD","mean_consecutive_turnover","sd_consecutive_turnover","mean_all_pairs_bc","season_length_weeks","n_years","H_plant_bc","n_plots","seasonLength","lat","lon","H_habitat","lat_sc","lon_sc","mean_spatial_turnover","partitioning_ratio"
"STEI",45.8109963189041,-90.0768439758904,52,-0.268164231062141,6.41212896043215,67.8959117449035,4.23277976236601,3.29053763,48,-0.127686570419117,0.361067135233772,0.14414027473394,0.527245420430541,7.6,10,0.618412964157817,10,-0.735975879744362,45.8107439104411,-90.0763696331225,0.0425353591122562,0.37117413884136,0.566643250041946,0.409265141391994,1.13348765770946
"STER",40.4730414810954,-103.019683109119,69,0.18928541188425,6.35021328675019,76.4062914023754,3.88794584862796,4.140808068,67,-0.286530229015732,0.399006276943154,0.160652035379391,0.565116494334708,8.63636363636364,11,0.428465829753994,7,-0.200826225860843,40.4730105552941,-103.019480268245,-2.0277161606064,-0.149418217903375,-0.0247386548729212,0.429461587643606,1.07632789873326
"TALL",32.9185979335938,-87.4218627109375,60,0.238401057758494,13.1504209573496,70.2997069964592,4.04183130128911,3.927333844,54,0.878214453452092,0.576900620445433,0.140526731662038,0.637277439016646,12.125,8,0.62859455877345,10,1.13414579575748,32.9224819015329,-87.426015302573,0.153505507687182,-0.885825836080824,0.687740228727003,0.535505833629021,0.928246243201385
"TEAK",37.0054172833333,-119.022617295238,18,-1.09638884776508,13.1517584375626,32.6521212121212,2.48607969090006,1.474887098,18,-1.30264329084056,0.247494442620745,0.0985772693462427,0.329550915948942,6.4,5,0.781486064896748,10,0.45272964211404,37.0033034869748,-119.024311428278,1.81988428143014,-0.487820843086674,-0.756013215222994,0.450782552899149,1.82138454555086
"TOOL",68.5943867739872,-149.489264239872,33,-0.946152754502688,4.33458732889625,39.5182776727578,3.19504715630753,1.960880665,29,-0.0688500994911813,0.276298871633019,0.0558566773333792,0.344003874957101,4.4,5,0.581550387604419,4,-2.04889184187508,68.5964795238597,-149.486549537683,-0.359233298098302,2.59348068993833,-2.14785918710439,0.411720686598306,1.49012800582535
"TREE",45.4891665522592,-89.5625852359653,63,0.325075726948337,13.1508772488299,75.2247278660604,4.32889070951272,4.024674754,58,0.499738018996385,0.460034258018216,0.111817949336144,0.603203771070556,8.1,10,0.711318800299638,12,-0.705793903603426,45.4884526873751,-89.5624819406034,1.05512472544842,0.339740881274779,0.590123222598896,0.630850612234302,1.37131224737902
"UKFS",39.0445076567922,-95.1991447253491,82,1.17159832936913,17.932692156054,98.0448548203306,4.80158309628327,5.281446488,77,1.19023054800437,0.527788006050066,0.159233271927792,0.694091405918586,11.7,10,0.599190471426651,10,0.111441142674225,39.0443376180258,-95.1987665813165,-0.166972380577425,-0.288757552025928,0.332596508856497,0.471106608148737,0.892605748422498
"UNDE",46.2430393390192,-89.5227359449893,39,-0.634123945419255,7.60898591578843,50.5584415584416,3.36096918863531,2.727041024,36,0.0362006491787766,0.4043661936661,0.157361317928064,0.574196832590483,8,10,0.675450549302409,11,-0.807948284388133,46.2425922876263,-89.524628573572,0.664193315139294,0.413292571793515,0.591852775635531,0.557184740525438,1.37792117455181
"WOOD",47.1329229413657,-99.2503647264927,104,1.25958625112247,6.56647392675387,113.011790747029,5.19393539270446,6.1758103,100,0.823433885022043,0.503522691092485,0.119786193204637,0.622915538965861,9.11111111111111,9,0.736907110889813,12,-0.711598129784376,47.1335412224232,-99.2493561306347,1.33401410723673,0.500187359308116,0.147521573531151,0.642744849947302,1.27649629563416
"WREF",45.8388658824334,-121.991741148325,16,-1.1252804041617,13.6399555386656,35.776,2.81514153512929,1.310575533,15,0.432208995676802,0.245280119862301,0.132554288631039,0.335566520044948,7.42857142857143,7,0.544008976491444,10,-0.134658047398022,45.8387852706512,-121.990903445736,-0.768400636436706,0.373909029632415,-0.891559366982576,0.286540833623011,1.16821874428255
"YELL",44.9458086638655,-110.578222484594,43,-0.753817536205227,1.39402537221186,45.3864786366659,3.3394193184476,2.455614864,37,0.457190988229535,0.382666164270236,0.102716869830499,0.477165013672954,6.2,5,0.720924309050982,10,-0.987879295997559,44.9455416276363,-110.581886361247,1.15981606050096,0.286790437839895,-0.370271521515021,0.475823148386072,1.24344191573219
